file,authors,licenses,urls
"torso/clothes/longsleeve/longsleeve/female","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve/teen","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-teen-unisex-base-clothes http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve/pregnant","bluecarrot16; ElizaWy; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2_buttoned","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2_cardigan","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2_polo","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2_scoop","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeve2_vneck","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/scoop/female","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/scoop/pregnant","bluecarrot16; ElizaWy; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
